Genre,Ghostwriting ($/word),Line/Copy Editing ($/word),Developmental Editing ($/word),Proofreading ($/word),Humanization ($/word),Full Services ($/word)
Novels,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Fiction,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Memoirs,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
How-Tos,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Copywriting,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Articles,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Textbooks,0.05 - 0.09,0.04 - 0.08,0.06 - 0.11,0.02 - 0.04,0.07 - 0.15,0.12 - 0.19
Short Stories,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Reviews/Testimonials,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Technical Writing,0.05 - 0.09,0.04 - 0.08,0.06 - 0.11,0.02 - 0.04,0.07 - 0.15,0.12 - 0.19
Historical Fiction,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Romance,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Biographies,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Children Stories,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Religious Content,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Self-Help,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Critiques/Evaluations,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Poetry,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Lyric Writing,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Social Media,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Blogs,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Screenplay,0.04 - 0.07,0.04 - 0.07,0.06 - 0.09,0.02 - 0.03,0.06 - 0.13,0.11 - 0.17
Marketing Content,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Business and Leadership,0.05 - 0.09,0.04 - 0.08,0.06 - 0.11,0.02 - 0.04,0.07 - 0.15,0.12 - 0.19
Health and Wellness,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
History and Politics,0.05 - 0.09,0.04 - 0.08,0.06 - 0.11,0.02 - 0.04,0.07 - 0.15,0.12 - 0.19
Spirituality,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Travel and Culture,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Cooking and Food Writing,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
Journals,0.02 - 0.05,0.03 - 0.06,0.05 - 0.08,0.01 - 0.02,0.04 - 0.08,0.09 - 0.14
